Domanda,Risposta,Immagini
La striscia bianca laterale continua separa la carreggiata dalla banchina,Vero,
Il triangolo mobile di pericolo deve essere posto ad almeno 50 metri dall'ostacolo,Vero,
Il segnale di "Fine del divieto di sorpasso" permette di sorpassare i motocicli,Vero,
L'airbag puo' essere pericoloso se si viaggia senza cinture di sicurezza allacciate,Vero,
In caso di pioggia occorre ridurre la velocita',Vero,
Lo spazio totale di arresto aumenta se gli pneumatici sono usurati,Vero,
Il segnale di "Dare Precedenza" obbliga sempre a fermarsi all'incrocio,Falso,
Il pannello integrativo raffigurato indica la durata del divieto,Vero,img17.png
e' vietato sorpassare un veicolo che si sia fermato per dare la precedenza ai pedoni,Vero,
Il servosterzo aiuta a manovrare lo sterzo con minor sforzo,Vero,
La fermata e' vietata in corrispondenza dei segnali orizzontali di preselezione,Vero,
Il segnale di "Preavviso di direzione urbana" ha fondo bianco,Vero,
Le luci di emergenza devono essere accese quando si e' costretti a procedere a velocita' molto ridotta,Vero,
Il segnale raffigurato vieta il transito ai veicoli a trazione animale,Vero,img18.png
Il segnale raffigurato preannuncia un ponte mobile,Vero,img19.png
Sulle strade extraurbane principali il limite di velocita' e' di 110 km/h,Vero,
La patente di categoria B abilita a condurre i tricicli a motore,Vero,
Lo stato di shock puo' essere causato da una forte perdita di sangue,Vero,
In caso di ferite sanguinanti occorre coprire la ferita con materiale sterile,Vero,
Il segnale raffigurato vieta la sosta ma non la fermata,Vero,img20.png
I delineatori di curva stretta sono segnali di pericolo,Falso,
Il carico deve essere sistemato in modo da non cadere o disperdersi,Vero,
L'uso del cellulare durante la guida e' ammesso solo con auricolare o vivavoce,Vero,
Il segnale raffigurato indica la presenza di una stazione ferroviaria,Falso,img21.png
Le luci abbaglianti vanno spente quando si incrociano altri veicoli,Vero,
Chi guida in stato di ebbrezza rischia l'arresto,Vero,
In caso di incendio del veicolo e' bene usare l'estintore dirigendo il getto alla base delle fiamme,Vero,
Il segnale raffigurato preannuncia un passaggio a livello con barriere,Vero,img22.png
La sosta e' vietata sui binari di linee ferroviarie o tramviarie,Vero,
La luce verde del semaforo permette di svoltare a sinistra dando la precedenza ai veicoli opposti,Vero,
Il segnale raffigurato indica un itinerario internazionale,Vero,img23.png
Sui motocicli la targa deve essere sempre ben leggibile,Vero,
Il segnale raffigurato preannuncia una discesa pericolosa,Vero,img24.png
e' obbligatorio regolare la velocita' nei tratti di strada a visibilita' limitata,Vero,
Il segnale raffigurato obbliga i conducenti a circolare a velocita' non superiore a 30 km/h,Falso,img25.png
I catadiottri rendono piu' visibili i veicoli di notte quando sono illuminati,Vero,
Sulle strade a senso unico la sosta e' permessa anche sul lato sinistro purche' rimanga spazio sufficiente,Vero,
Il segnale raffigurato indica una piazzola di sosta,Vero,img26.png
La spia dei proiettori abbaglianti e' di colore blu,Vero,
Bisogna dare la precedenza ai mezzi pubblici che ripartono dalla fermata,Vero,
Il segnale raffigurato vieta la marcia per file parallele,Falso,img27.png
Il segnale raffigurato indica un comando della polizia,Falso,img28.png
Per consumare meno carburante occorre evitare brusche accelerazioni,Vero,
Il segnale raffigurato preannuncia un attraversamento ciclabile,Vero,img29.png
